"","q1AgeBeginCoding","q2Age","q3Gender","q4Education","q5DegreeFocus","q8JobLevel","q9CurrentRole","q10Industry","q16HiringManager","q24VimorEmacs"
"1","16 - 20 years old","45 - 54 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"2","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Principal engineer","Software Engineer","Security","Yes","Vim"
"3","11 - 15 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Level 1 developer (junior)","Front-end Developer","Technology","Yes","Vim"
"4","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Back-end Developer","Media","No","Vim"
"5","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Technology","No","Vim"
"6","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"7","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Software Engineer","Education","No","Vim"
"8","21 - 25 years old","18 - 24 years old","Female","Some college","Computer Science","Student","Software Engineer","Security","No","Vim"
"9","26 - 30 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Reliability Engineer","Technology","No","Vim"
"10","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Test Engineer","Technology","No","Vim"
"11","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"12","11 - 15 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"13","5 - 10 years old","25 - 34 years old","Male","College graduate","Computer Science","New grad","Web Developer","Education","Yes","Vim"
"14","31 - 35 years old","35 - 44 years old","Male","Some college","Computer Science","Senior developer","Full-stack Developer","Government","No","Vim"
"15","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Security","Yes","Vim"
"16","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Web Developer","Education","No","Emacs"
"17","11 - 15 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Retail","Yes","Vim"
"18","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Education","No","Emacs"
"19","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Technology","No","Vim"
"20","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Full-stack Developer","Technology","No","Vim"
"21","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Software Engineer","Technology","No","Vim"
"22","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Automotive & Transportation","No","Vim"
"23","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Level 1 developer (junior)","Full-stack Developer","Retail","No","Vim"
"24","11 - 15 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Education","No","Vim"
"25","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Retail","No","Vim"
"26","21 - 25 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Technology","Yes","Vim"
"27","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Data Scientist","Health Care","No","Vim"
"28","11 - 15 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Energy, Oil, Gas, Utilities","Yes","Vim"
