"","q1AgeBeginCoding","q2Age","q3Gender","q4Education","q5DegreeFocus","q8JobLevel","q9CurrentRole","q10Industry","q24VimorEmacs"
"1","3","6","1","7","1",5,"4","14","1"
"2","3","3","1","7","1",6,"9","13","1"
"3","2","3","1","6","1",4,"2","14","1"
"4","2","4","1","7","1",5,"3","10","1"
"5","3","3","1","5","1",4,"4","14","1"
"6","3","3","1","5","1",1,"18","14","1"
"7","2","3","1","5","1",1,"9","4","1"
"8","4","3","2","3","1",1,"9","13","1"
"9","5","4","1","6","1",5,"12","14","1"
"10","3","3","1","5","1",4,"10","14","1"
"11","3","4","1","5","1",5,"4","14","1"
"12","2","3","1","3","1",1,"18","14","1"
"13","1","4","1","5","1",2,"1","4","1"
"14","6","5","1","3","1",5,"4","7","1"
"15","4","3","1","5","1",4,"9","13","1"
"16","3","3","1","5","1",1,"1","4","2"
"17","2","4","1","5","1",5,"9","12","1"
"18","3","3","2","7","1",1,"18","4","2"
"19","3","4","1","5","1",5,"4","14","1"
"20","4","4","1","7","1",4,"4","14","1"
"21","2","3","1","5","1",1,"9","14","1"
"22","3","4","1","5","1",4,"9","2","1"
"23","3","3","1","2","1",4,"4","12","1"
"24","2","3","1","3","1",1,"18","4","1"
"25","4","4","1","7","2",5,"9","12","1"
"26","4","3","1","7","2",4,"9","14","1"
"27","3","3","1","6","2",1,"6","8","1"
"28","2","5","1","7","2",5,"9","19","1"
"29","4","3","1","5","2",1,"18","4","2"
"30","3","3","1","7","2",1,"18","11","1"
"31","3","5","1","5","1",5,"9","1","1"
"32","4","4","1","5","2",5,"4","14","2"
"33","4","5","1","7","2",7,"17","14","1"
"34","3","2","1","2","2",1,"18","8","2"
"35","4","3","1","3","2",4,"1","14","1"
"36","4","5","1","6","2",5,"3","10","2"
"37","2","2","1","5","2",1,"18","3","2"
"38","3","3","1","6","2",1,"7","2","1"
"39","3","3","1","7","2",1,"18","2","2"
"40","4","3","1","3","2",1,"18","4","1"
"41","3","4","1","2","2",1,"1","4","1"
"42","2","2","1","6","2",1,"18","11","1"
"43","3","3","1","5","2",1,"18","4","1"
"44","3","3","1","5","2",1,"18","1","2"
"45","3","3","1","5","2",1,"18","2","2"
"46","4","3","1","5","2",2,"19","3","1"
"47","3","3","1","7","2",1,"18","2","2"
"48","4","4","1","6","2",4,"9","5","1"
"49","3","3","1","3","2",3,"2","2","1"
"50","3","3","1","5","2",2,"10","2","1"
"51","3","3","1","5","2",4,"3","14","1"
"52","3","2","2","5","2",1,"18","7","1"
"53","3","3","1","2","1",1,"18","14","1"
"54","3","3","1","7","1",1,"18","5","1"
"55","2","3","1","5","1",4,"12","14","1"
"56","2","5","1","7","2",5,"3","16","1"
"57","3","5","1","5","2",6,"4","14","2"
"58","4","3","1","5","2",3,"2","12","2"
"59","4","4","1","7","2",4,"3","14","2"
"60","2","3","1","5","1",4,"17","10","1"
